"ISSN","T.tulo","Estrato","Area"
"15792129","ARCHIVOS DE BRONCONEUMOLOG�A (INTERNET)","B2","medicina_i"
"02503816","ARCHIVOS DE MEDICINA INTERNA","B5","medicina_i"
"15183327","ARQUIVOS BRASILEIROS DE PSIQUIATRIA, NEUROLOGIA E MEDICINA LEGAL (1999)","B5","medicina_i"
"01035339","ARQUIVOS DO INSTITUTO PENIDO BURNIER","C ","medicina_i"
"01003992","ARQUIVOS M�DICOS DO ABC","C ","medicina_i"
"1447056X","ASIA PACIFIC FAMILY MEDICINE (ONLINE)","B4","medicina_i"
"17935482","ASIAN JOURNAL OF NEUROSURGERY","C ","medicina_i"
"23819111","AUSTIN JOURNAL OF CLINICAL CARDIOLOGY","C ","medicina_i"
"14480131","AUSTRALIAN AND NEW ZEALAND CONTINENCE JOURNAL","B5","medicina_i"
"23805552","BAOJ PHARMACEUTICAL SCIENCES","C ","medicina_i"
"20514190","BASIC AND CLINICAL ANDROLOGY","B3","medicina_i"
"15300870","BASIC NEWS","C ","medicina_i"
"18095577","BIO FARMA","C ","medicina_i"
"20507771","BIOMARKER RESEARCH (ONLINE)","C ","medicina_i"
"09598138","BMJ. BRITISH MEDICAL JOURNAL (CLINICAL RESEARCH ED.)","B5","medicina_i"
"2055642X","BMJ INNOVATIONS","B5","medicina_i"
"22380450","BOLETIM CIENT�FICO DE PEDIATRIA","C ","medicina_i"
"09513078","BONE MARROW TRANSPLANTATION. SUPPLEMENT (BASINGSTOKE)","A2","medicina_i"
"19317565","BRAIN IMAGING AND BEHAVIOR","B1","medicina_i"
"17503639","BRAIN PATHOLOGY","A1","medicina_i"
"19839901","BRAZILIAN JOURNAL OF VIDEOENDOSCOPIC SURGERY (IMPRESSO)","C ","medicina_i"
